               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.032304,            0.049888,           0.0027867,             0.79895,             0.71947,             0.73998,             0.37745,            0.044355,            0.078651,           0.0099679,            0.005479,            0.005479,            0.005479
                 139,            0.031167,            0.054379,           0.0031102,             0.85935,             0.71635,             0.75219,             0.37994,            0.044256,            0.078035,           0.0094216,            0.005446,            0.005446,            0.005446
                 140,             0.02954,            0.046224,           0.0022294,              0.8659,             0.68545,             0.73944,             0.37885,            0.044156,            0.077894,           0.0096051,            0.005413,            0.005413,            0.005413
                 141,            0.031684,            0.047247,           0.0026365,             0.85963,             0.71772,             0.76139,             0.36904,             0.04479,            0.078157,            0.010319,             0.00538,             0.00538,             0.00538
                 142,            0.029487,            0.041083,           0.0027003,             0.86455,             0.71883,             0.76409,             0.36472,            0.045408,            0.078806,            0.010288,            0.005347,            0.005347,            0.005347
                 143,            0.031866,            0.048718,           0.0034925,             0.84517,             0.70025,             0.74312,             0.36498,            0.044715,            0.079848,            0.010349,            0.005314,            0.005314,            0.005314
                 144,            0.034465,            0.055803,           0.0027414,             0.85546,             0.70835,             0.74573,             0.37854,            0.044159,            0.080935,            0.010043,            0.005281,            0.005281,            0.005281
                 145,            0.030092,            0.044226,           0.0029209,             0.80139,              0.7322,             0.74813,             0.37684,            0.044465,            0.080803,            0.010154,            0.005248,            0.005248,            0.005248
                 146,            0.030141,            0.049765,           0.0021017,             0.79274,              0.7321,             0.74823,             0.38037,            0.045191,            0.080392,            0.010218,            0.005215,            0.005215,            0.005215
                 147,            0.031208,            0.051118,           0.0026214,             0.79387,             0.73768,             0.75517,             0.37396,            0.044818,              0.0799,            0.010309,            0.005182,            0.005182,            0.005182
                 148,            0.029284,            0.046807,           0.0034303,             0.83779,             0.71832,             0.76674,             0.39283,            0.043952,             0.07939,            0.010201,            0.005149,            0.005149,            0.005149
                 149,            0.030676,            0.049922,           0.0024535,             0.82474,             0.70942,             0.76243,             0.38583,            0.044207,            0.079302,            0.011025,            0.005116,            0.005116,            0.005116
                 150,            0.029978,            0.050882,           0.0028533,             0.76802,             0.74355,             0.74267,             0.36762,            0.044834,            0.079981,            0.011408,            0.005083,            0.005083,            0.005083
                 151,            0.031379,            0.054482,           0.0022422,             0.83132,             0.70933,             0.74349,             0.38257,            0.044138,            0.080198,            0.011321,             0.00505,             0.00505,             0.00505
                 152,            0.031866,            0.051097,           0.0032203,             0.83273,             0.69264,             0.74556,             0.38665,             0.04373,            0.080297,            0.011593,            0.005017,            0.005017,            0.005017
                 153,            0.028573,            0.043372,           0.0029857,             0.81426,             0.72534,             0.75212,             0.38951,            0.043829,            0.080468,            0.011475,            0.004984,            0.004984,            0.004984
                 154,            0.029884,            0.046032,           0.0042465,             0.84347,              0.7265,             0.75191,             0.37632,             0.04381,            0.080098,             0.01148,            0.004951,            0.004951,            0.004951
                 155,            0.029729,            0.047918,           0.0028828,             0.82526,             0.73478,              0.7547,             0.37381,            0.043806,            0.079508,            0.011252,            0.004918,            0.004918,            0.004918
