               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.027081,             0.04229,             0.00229,             0.76432,             0.77809,             0.75559,             0.37173,            0.045174,            0.083607,            0.010336,            0.006205,            0.006205,            0.006205
                 117,            0.027691,             0.04523,           0.0026691,             0.82212,             0.76055,             0.77836,             0.37159,            0.044886,            0.085055,           0.0098518,            0.006172,            0.006172,            0.006172
                 118,            0.027495,            0.045713,           0.0021354,             0.83097,             0.76219,             0.77834,             0.37508,            0.045296,            0.088437,            0.009863,            0.006139,            0.006139,            0.006139
                 119,            0.025094,            0.041419,           0.0028416,             0.80139,             0.78178,             0.77181,              0.3714,            0.044645,            0.089949,            0.010103,            0.006106,            0.006106,            0.006106
                 120,            0.028095,            0.046759,           0.0018932,             0.82473,             0.76132,             0.75702,             0.35454,            0.045318,            0.089742,             0.01054,            0.006073,            0.006073,            0.006073
                 121,            0.027582,            0.042234,           0.0031911,             0.83997,              0.7602,             0.77084,             0.35292,            0.045274,            0.089623,            0.010627,             0.00604,             0.00604,             0.00604
                 122,            0.027427,            0.046414,           0.0026894,             0.84078,             0.75561,             0.76938,             0.36142,            0.045013,            0.088435,            0.010332,            0.006007,            0.006007,            0.006007
                 123,            0.028467,            0.045245,             0.00201,             0.83315,              0.7757,             0.78063,             0.36878,            0.045207,            0.087268,            0.010177,            0.005974,            0.005974,            0.005974
                 124,            0.025303,            0.042137,           0.0026087,             0.84781,             0.76593,             0.78169,             0.36295,             0.04501,            0.087782,            0.010317,            0.005941,            0.005941,            0.005941
                 125,            0.027192,            0.047704,           0.0025323,             0.85806,             0.74769,             0.78014,             0.36015,            0.044793,            0.086225,            0.010492,            0.005908,            0.005908,            0.005908
                 126,            0.027831,            0.044504,           0.0021639,             0.86386,             0.74918,             0.77287,             0.36984,            0.045979,            0.085332,            0.010854,            0.005875,            0.005875,            0.005875
                 127,            0.027834,            0.046501,           0.0024892,             0.85288,             0.72308,             0.74816,              0.3435,            0.046079,            0.085498,            0.011566,            0.005842,            0.005842,            0.005842
                 128,            0.028696,            0.043878,           0.0022506,             0.83753,             0.75473,              0.7512,             0.34568,            0.046446,            0.084175,             0.01169,            0.005809,            0.005809,            0.005809
                 129,            0.027061,             0.04345,           0.0028922,             0.83126,             0.74844,              0.7444,             0.34045,            0.046796,            0.085028,            0.011901,            0.005776,            0.005776,            0.005776
                 130,            0.028566,            0.043025,           0.0024002,              0.8762,             0.73589,             0.76316,             0.35189,            0.045971,            0.085742,            0.011873,            0.005743,            0.005743,            0.005743
                 131,            0.027859,            0.043742,           0.0025232,             0.85194,             0.72649,             0.74132,             0.34382,            0.045952,            0.086333,            0.012225,             0.00571,             0.00571,             0.00571
                 132,            0.025285,            0.045986,           0.0018885,             0.86839,             0.74139,              0.7538,             0.35287,            0.045713,            0.086856,            0.011835,            0.005677,            0.005677,            0.005677
                 133,            0.027058,             0.04093,           0.0019652,             0.84369,             0.76015,               0.748,              0.3435,             0.04574,            0.087643,            0.011438,            0.005644,            0.005644,            0.005644
                 134,            0.026458,            0.045114,           0.0024644,             0.86052,             0.71946,             0.73477,             0.34327,            0.045583,            0.086673,            0.011373,            0.005611,            0.005611,            0.005611
                 135,            0.026634,            0.044772,           0.0023845,             0.83663,             0.74515,             0.74612,              0.3538,             0.04651,            0.084128,            0.011523,            0.005578,            0.005578,            0.005578
                 136,             0.02958,            0.044127,           0.0027368,             0.84449,             0.74921,             0.76491,             0.35386,            0.045494,            0.083411,            0.011564,            0.005545,            0.005545,            0.005545
